Van (datum);Van (tijdstip);Tot (datum);Tot (tijdstip);Metertype;Register;Volume;Eenheid;Validatiestatus
04/06/2025;07:00:00;04/06/2025;07:15:00;Digitale meter;Afname Dag;0,006;kWh;Geschat
04/06/2025;07:00:00;04/06/2025;07:15:00;Digitale meter;Injectie Dag;0,001;kWh;Geschat
04/06/2025;07:15:00;04/06/2025;07:30:00;Digitale meter;Afname Dag;0,006;kWh;Geschat
04/06/2025;07:15:00;04/06/2025;07:30:00;Digitale meter;Injectie Dag;0,001;kWh;Geschat
04/06/2025;07:30:00;04/06/2025;07:45:00;Digitale meter;Afname Dag;0,006;kWh;Geschat
04/06/2025;07:30:00;04/06/2025;07:45:00;Digitale meter;Injectie Dag;0,001;kWh;Geschat
04/06/2025;07:45:00;04/06/2025;08:00:00;Digitale meter;Afname Dag;0,006;kWh;Geschat
04/06/2025;07:45:00;04/06/2025;08:00:00;Digitale meter;Injectie Dag;0,001;kWh;Geschat
04/06/2025;08:00:00;04/06/2025;08:15:00;Digitale meter;Afname Dag;0,006;kWh;Geschat
04/06/2025;08:00:00;04/06/2025;08:15:00;Digitale meter;Injectie Dag;0,001;kWh;Geschat
04/06/2025;08:15:00;04/06/2025;08:30:00;Digitale meter;Afname Dag;0,006;kWh;Geschat
04/06/2025;08:15:00;04/06/2025;08:30:00;Digitale meter;Injectie Dag;0,001;kWh;Geschat
04/06/2025;08:30:00;04/06/2025;08:45:00;Digitale meter;Afname Dag;0,006;kWh;Geschat
04/06/2025;08:30:00;04/06/2025;08:45:00;Digitale meter;Injectie Dag;0,001;kWh;Geschat
04/06/2025;08:45:00;04/06/2025;09:00:00;Digitale meter;Afname Dag;0,006;kWh;Geschat
04/06/2025;08:45:00;04/06/2025;09:00:00;Digitale meter;Injectie Dag;0,001;kWh;Geschat
04/06/2025;09:00:00;04/06/2025;09:15:00;Digitale meter;Afname Dag;0,006;kWh;Geschat
04/06/2025;09:00:00;04/06/2025;09:15:00;Digitale meter;Injectie Dag;0,001;kWh;Geschat
04/06/2025;09:15:00;04/06/2025;09:30:00;Digitale meter;Afname Dag;0,006;kWh;Geschat
04/06/2025;09:15:00;04/06/2025;09:30:00;Digitale meter;Injectie Dag;0,001;kWh;Geschat
04/06/2025;09:30:00;04/06/2025;09:45:00;Digitale meter;Afname Dag;0,006;kWh;Geschat
04/06/2025;09:30:00;04/06/2025;09:45:00;Digitale meter;Injectie Dag;0,001;kWh;Geschat
04/06/2025;09:45:00;04/06/2025;10:00:00;Digitale meter;Afname Dag;0,022;kWh;Uitgelezen
04/06/2025;09:45:00;04/06/2025;10:00:00;Digitale meter;Injectie Dag;0;kWh;Uitgelezen
04/06/2025;10:00:00;04/06/2025;10:15:00;Digitale meter;Afname Dag;0,003;kWh;Uitgelezen
04/06/2025;10:00:00;04/06/2025;10:15:00;Digitale meter;Injectie Dag;0,028;kWh;Uitgelezen
04/06/2025;10:15:00;04/06/2025;10:30:00;Digitale meter;Afname Dag;0,038;kWh;Uitgelezen
04/06/2025;10:15:00;04/06/2025;10:30:00;Digitale meter;Injectie Dag;0,026;kWh;Uitgelezen
04/06/2025;10:30:00;04/06/2025;10:45:00;Digitale meter;Afname Dag;0,014;kWh;Uitgelezen
04/06/2025;10:30:00;04/06/2025;10:45:00;Digitale meter;Injectie Dag;0,079;kWh;Uitgelezen
04/06/2025;10:45:00;04/06/2025;11:00:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
04/06/2025;10:45:00;04/06/2025;11:00:00;Digitale meter;Injectie Dag;0,128;kWh;Uitgelezen
04/06/2025;11:00:00;04/06/2025;11:15:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
04/06/2025;11:00:00;04/06/2025;11:15:00;Digitale meter;Injectie Dag;0,147;kWh;Uitgelezen
04/06/2025;11:15:00;04/06/2025;11:30:00;Digitale meter;Afname Dag;0,013;kWh;Uitgelezen
04/06/2025;11:15:00;04/06/2025;11:30:00;Digitale meter;Injectie Dag;0,151;kWh;Uitgelezen
04/06/2025;11:30:00;04/06/2025;11:45:00;Digitale meter;Afname Dag;0,286;kWh;Uitgelezen
04/06/2025;11:30:00;04/06/2025;11:45:00;Digitale meter;Injectie Dag;0,035;kWh;Uitgelezen
04/06/2025;11:45:00;04/06/2025;12:00:00;Digitale meter;Afname Dag;0,173;kWh;Uitgelezen
04/06/2025;11:45:00;04/06/2025;12:00:00;Digitale meter;Injectie Dag;0,072;kWh;Uitgelezen
04/06/2025;12:00:00;04/06/2025;12:15:00;Digitale meter;Afname Dag;0,004;kWh;Uitgelezen
04/06/2025;12:00:00;04/06/2025;12:15:00;Digitale meter;Injectie Dag;0,361;kWh;Uitgelezen
04/06/2025;12:15:00;04/06/2025;12:30:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
04/06/2025;12:15:00;04/06/2025;12:30:00;Digitale meter;Injectie Dag;0,363;kWh;Uitgelezen
04/06/2025;12:30:00;04/06/2025;12:45:00;Digitale meter;Afname Dag;0,066;kWh;Uitgelezen
04/06/2025;12:30:00;04/06/2025;12:45:00;Digitale meter;Injectie Dag;0,219;kWh;Uitgelezen
04/06/2025;12:45:00;04/06/2025;13:00:00;Digitale meter;Afname Dag;0;kWh;Uitgelezen
04/06/2025;12:45:00;04/06/2025;13:00:00;Digitale meter;Injectie Dag;0,416;kWh;Uitgelezen
