Van (datum);Van (tijdstip);Tot (datum);Tot (tijdstip);EAN-code;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus;Omschrijving
01-01-2026;00:00:00;01-01-2026;00:15:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Nacht;0,224;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;00:00:00;01-01-2026;00:15:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;00:15:00;01-01-2026;00:30:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Nacht;0,203;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;00:15:00;01-01-2026;00:30:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;00:30:00;01-01-2026;00:45:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Nacht;0,201;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;00:30:00;01-01-2026;00:45:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;00:45:00;01-01-2026;01:00:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Nacht;0,194;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;00:45:00;01-01-2026;01:00:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;01:00:00;01-01-2026;01:15:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Nacht;0,199;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;01:00:00;01-01-2026;01:15:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;01:15:00;01-01-2026;01:30:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Nacht;0,205;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;01:15:00;01-01-2026;01:30:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;01:30:00;01-01-2026;01:45:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Nacht;0,195;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;01:30:00;01-01-2026;01:45:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;01:45:00;01-01-2026;02:00:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Nacht;0,212;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;01:45:00;01-01-2026;02:00:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;02:00:00;01-01-2026;02:15:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Nacht;0,212;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;02:00:00;01-01-2026;02:15:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;02:15:00;01-01-2026;02:30:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Nacht;0,207;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;02:15:00;01-01-2026;02:30:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;02:30:00;01-01-2026;02:45:00;="541448860009565337";1SAG3205067922;Digitale meter;Afname Nacht;0,259;kWh;Uitgelezen;Hoofdverblijf
01-01-2026;02:30:00;01-01-2026;02:45:00;="541448860009565337";1SAG3205067922;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;Hoofdverblijf
